timestamp,order_id,symbol,side,qty,price,entry_price,notional_usd,profit_usd,profit_pct,portfolio_value_usd,fee_model
2026-04-10T12:34:42.686479+00:00,ebd1bae1-f55c-4588-98a9-34d1eea26fa1,DOT/USD,sell,153.445350204,1.3231,,203.0235,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-10T22:52:08.671318+00:00,60bcc6f4-06d3-433f-a48b-cc90e2755f9f,CRV/USD,buy,1332.470166,0.215595,,287.2739,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-11T01:21:12.716483+00:00,4069da0e-cd28-40ee-a1db-e5ac959cd1f5,DOT/USD,buy,155.857383,1.2652,,197.1908,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-11T02:13:08.213438+00:00,ad8cd3e4-11e2-4779-b21a-b8c9afd7d14a,DOT/USD,sell,155.623596925,1.3145,,204.5672,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-11T02:17:34.546771+00:00,ceb3a1ed-c992-4d3d-8007-46599e0871eb,CRV/USD,sell,1330.471460751,0.21927,,291.7325,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-11T05:13:57.838844+00:00,b6b69235-67be-43e2-a3bd-3fb6374d2f7a,DOT/USD,buy,233.005466,1.2731,,296.6393,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-11T06:49:00.319475+00:00,732f5cde-fd88-4df5-bdfb-16d0f570e921,CRV/USD,buy,1389.087326,0.21355,,296.6396,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-11T08:40:26.370070+00:00,a0c0a295-654c-4635-947a-e6879295fbc4,CRV/USD,sell,1387.003695011,0.219789,,304.8482,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-11T13:20:25.014066+00:00,cf3ab9d9-677d-4aa3-a486-e07add2d2781,AAVE/USD,buy,1.103397,89.6142,,98.88,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-11T14:06:29.446928+00:00,e896a57a-0b72-4bc6-8035-baa2f5224d13,AAVE/USD,sell,1.101741904,92.24,,101.6247,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
